"","hh","em","ex","ag","cn","op","op_score","ag_score","ex_score","cn_score","hh_score","em_score","op_qscore","ag_qscore","ex_qscore","cn_qscore","hh_qscore","em_qscore"
"1",2.0459613688318,2.75994863676129,3.17393512995998,3.03457985712568,3.21571714286276,3.86515192107125,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"2",2.19225387995754,3.60585944838377,4.09256298131123,2.99754576083277,2.68309314025579,3.7016615974777,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"3",4.24572372916503,3.67526999231289,3.35447351247601,2.41682777876453,3.77855202920305,2.44269799157521,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"4",1.41626193687127,3.47497935551865,3.1645905176034,2.87873040880334,2.43992088109851,2.99821227116696,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"5",4.11730805759855,2.48254269890815,2.92782930228893,2.38648900376147,3.78577348186618,2.54661300035699,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"6",2.81945752205242,3.029470432907,4.06340264079272,1.93271889991375,3.38493825146344,1.8138223459088,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"7",3.07733590316179,3.13736992809868,3.86055213611402,3.04690700257772,3.92735809012379,2.48787824672974,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"8",3.27171796541643,3.79280260480263,3.49573096399709,3.2801392298327,3.82939986075618,3.73683494868475,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"9",3.65371793946618,4.25100920407942,2.79102879864042,3.62889394661269,3.98464962397152,3.40896595312766,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"10",2.44680094594145,4.10134547926683,4.32715613355331,4.03424421593293,4.40768890559701,3.75007950241978,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"11",3.76018884648422,2.44915718304316,2.68767731040156,3.54886774943396,3.07682766133036,3.45856218647862,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"12",3.73893521510355,3.05455866504901,3.25765865871625,4.40313958876219,3.93140461098192,4.13015476038645,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"13",4.56067652405247,3.39420183250819,3.42239190068839,3.42777722436151,3.25586855778196,2.7240788282321,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"14",2.61110947280567,3.72022261651023,3.41189530096213,2.78664218352652,3.19666481254052,4.33573686686369,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"15",3.53641118685084,3.98795042923744,3.61390682961286,3.64919293202925,3.28953077678774,4.74495072302679,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
"16",3.20021959732951,2.38935064192595,4.47087355890021,2.67068947408992,3.45365365746818,1.75766051252902,2.9,3.2,3.3,2.9,4.3,3.8,18,56,37,19,95,73
